Price,Date,Close,High,Low,Open,Volume
Ticker,,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA
1315,2013-01-16 00:00:00,83.4997787475586,85.0073157442731,81.90223380280185,82.77975636307482,247800
1316,2013-01-17 00:00:00,82.914794921875,85.25485831703308,82.44228047029377,83.49981248732581,869200
1317,2013-01-18 00:00:00,85.05232238769531,85.05232238769531,83.25227323663297,83.25227323663297,492700
1318,2013-01-21 00:00:00,84.37730407714844,84.37730407714844,83.69778799363847,83.69778799363847,376200
1319,2013-01-22 00:00:00,85.4078369140625,85.4078369140625,84.10280390639859,84.10280390639859,828000
1320,2013-01-23 00:00:00,85.61038208007812,85.90738511700614,84.62485358790285,85.03436661859004,660600
1321,2013-01-24 00:00:00,86.96489715576172,86.96489715576172,85.83986614469106,85.83986614469106,752000
1322,2013-01-25 00:00:00,86.96489715576172,86.96489715576172,86.96489715576172,86.96489715576172,0
1323,2013-01-28 00:00:00,85.76786804199219,86.94240076794539,85.286358308863,86.8119001835705,732800
1324,2013-01-29 00:00:00,87.02790832519531,87.29791854462815,85.10185556873341,85.76787207891726,843600
1325,2013-01-30 00:00:00,87.30236053466797,87.59486569701957,86.63183993279763,87.02785283770261,1198200
1326,2013-01-31 00:00:00,87.31587982177734,87.6398892041098,86.85236773500996,87.30238000306701,420200
1327,2013-02-01 00:00:00,87.26639556884766,87.61740465847252,86.17736648736488,87.31589720285339,257800
1328,2013-02-04 00:00:00,87.171875,87.30237552972714,86.64985914780758,87.26637372613023,227600
1329,2013-02-05 00:00:00,87.171875,87.171875,87.171875,87.171875,0
1330,2013-02-06 00:00:00,87.54540252685547,87.73891141459522,86.89739048878411,87.17189830629138,692600
1331,2013-02-07 00:00:00,87.2978744506836,88.20239655561497,86.87486185833583,87.54537568239878,558000
1332,2013-02-08 00:00:00,87.972900390625,88.41840813950789,86.85686502647678,87.29788199133117,616600
1333,2013-02-11 00:00:00,89.43997955322266,89.88999202896214,87.88743788525052,87.9729413543043,1902200
